magnitude,felt,cdi,mmi,tsunami,sig,nst,dmin,rms,gap,depth,latitude,longitude,distanceKM,timezone
5.3,0,0,3,0,432,274,3.301,0.62,20,10,29.8673,140.048,0,540
5.5,0,0,3,0,465,129,2.997,0.76,24,8,30.786,142.041,0,540
5.6,0,0,3,0,482,122,2.701,0.54,49,10,31.0695,141.884,0,540
5.6,0,0,4,0,482,124,3.151,0.69,20,10,29.9958,140.146,0,540
5.5,0,0,4,0,465,264,3.149,0.86,30,10,30.0215,140.109,0,540
5.8,0,0,4,0,518,155,3.239,0.72,17,6,29.9105,140.053,0,540
6,1,1,4,0,554,257,3.192,0.36,27,10,29.905,139.967,0,540
5.8,0,0,4,0,518,197,4.374,0.7,45,30,44.2539,148.635,117,600
5.7,0,0,3,0,500,99,2.728,0.69,53,12.765,30.9578,141.833,0,540
5.8,0,0,3,0,518,107,2.806,0.65,98,8,31.0125,141.989,0,540
5.5,15,4,4,0,471,121,2.31,0.73,61,51,38.5129,141.641,20,540
6.3,42,4,4,0,629,165,2.324,0.84,21,176,26.4336,125.303,191,480
5.2,6,3,4,0,418,256,2.036,0.5,113,40.452,38.9566,142.101,37,540
4.9,1,2,2,0,370,206,6.253,0.66,31,10,21.7833,145.906,0,600
5.9,5,3,4,0,537,140,0.926,0.57,71,34,41.1222,142.845,0,600
5.5,0,0,4,0,465,164,1.106,0.74,60,12.851,30.7637,131.39,38,540
5.4,0,0,3,0,449,85,12.457,1.03,40,10,24.0074,143.203,0,600
5.6,8,5,6,0,486,240,0.996,0.79,23,4,21.895,121.583,85,480
5.8,1,1,2,0,518,281,2.575,0.8,37,442,42.0873,134.055,0,540
5.6,1,2,3,0,483,153,1.175,0.78,52,314,45.8086,143.124,94,600
5.7,3,4,4,0,501,88,1.087,1.27,36,123,-28.6825,-69.3728,122,-180
5.7,5,3,3,0,501,74,2.015,1.17,37,222.966,-19.1251,-67.3038,61,-240
5.5,2,4,3,0,466,47,2.152,1.24,42,267.235,-22.2935,-65.9607,43,-180
7.4,211,7,7,1,994,119,0.336,1.06,19,127.291,-23.1243,-67.8715,41,-240
5.8,26,5,6,0,529,141,0.642,0.56,72,28,-28.9162,-71.5264,73,-180
5.4,2,3,5,0,449,307,0.19,0.73,56,33.936,-28.229,-71.3898,63,-180
5.3,1,2,4,0,432,99,0.875,1.3,38,113.11,-22.1579,-68.682,41,-180
5.4,0,0,4,0,449,136,0.857,0.85,111,10,-30.2226,-72.2289,84,-300
5.3,1,2,3,0,432,108,1.46,0.99,33,202.477,-23.3523,-66.6742,100,-180
5.4,0,0,3,0,449,221,1.379,0.69,32,175.245,-21.9201,-67.253,128,-240
5.5,0,0,4,0,465,124,1.743,1.19,29,117,-28.4553,-68.9432,68,-180
5.8,13,4,5,0,523,72,1.437,1.12,131,16,-38.0756,-73.8819,53,-300
5.6,21,6,6,0,494,271,0.404,0.86,51,61.708,-21.9025,-70.2778,21,-180
5.5,1,1,3,0,465,466,2.773,0.63,51,191.769,-24.1126,-66.8382,49,-180
5.8,25,5,4,0,529,158,0.45,0.99,68,112,-19.1959,-69.0592,28,-180
6.6,71,7,7,1,719,169,0.685,0.52,32,34,-28.7457,-71.5726,80,-180
5.4,3,4,4,0,450,147,0.492,0.66,51,101.15,-28.6909,-70.3075,50,-180
6,5,4,4,0,556,123,1.774,0.81,35,253,-22.8844,-66.2242,61,-180
5.6,1,5,1,0,483,256,4.179,0.77,35,571.448,-23.6067,-63.6564,60,-180
5.7,0,0,4,0,500,131,1.08,0.77,50,8,-27.3252,-71.5543,122,-300
5.3,16,5,4,0,440,97,0.985,0.55,37,110.914,-20.6514,-68.5222,0,-180
5.5,1,4,5,0,466,106,0.755,0.81,107,21.043,-27.1542,-71.2479,86,-300
6.3,80,6,6,0,660,340,0.412,0.74,19,36,-30.2775,-71.536,38,-180
6.2,2,1,2,0,592,201,4.581,0.64,34,554,-26.9212,-63.3389,17,-180
6.2,1,1,2,0,591,248,4.325,0.56,33,575,-28.2143,-63.1854,0,-180
6.6,350,7,4,0,901,134,1.61,0.63,18,186,-38.1911,-70.3731,19,-180
5.7,137,6,5,0,577,126,0.257,0.76,34,99,-33.2122,-70.3268,30,-240
5.8,6,3,4,0,519,270,0.933,0.96,32,135,-23.9264,-67.9077,108,-240
5.5,20,6,4,0,477,59,1.786,0.92,65,47.174,-8.7179,110.181,98,420
5.1,72,4,6,0,428,101,4.495,0.78,79,8.078,14.7827,108.243,53,420
5.1,0,0,3,0,400,111,1.617,0.73,34,10,0.0963,96.4898,155,360
5.4,0,0,3,0,449,142,2.19,0.72,32,9,-5.3869,101.059,224,420
5.1,0,0,4,0,400,128,1.323,0.69,111,65.051,0.4081,98.5654,86,420
5.5,0,0,5,0,465,122,2.425,0.54,35,19,-3.6267,100.699,183,420
5.7,1,8,5,0,501,112,2.471,0.69,56,21,2.8312,95.6044,93,420
6.1,107,8,6,0,655,232,0.652,0.64,19,59.701,-8.1104,107.272,91,420
6.4,101,9,8,0,738,208,2.239,0.62,39,9.471,-5.8668,112.362,110,420
5.6,61,7,7,0,527,89,2.233,1.12,27,10,-5.8086,112.311,117,420
5.2,0,0,4,0,416,79,1.65,0.81,102,10,-5.8146,102.185,224,420
5.6,22,7,4,0,497,133,1.712,0.72,54,34,-7.362,105.925,79,420
5.4,12,5,4,0,454,146,2.085,0.65,43,54.787,-7.435,105.536,124,420
5.5,0,0,1,0,465,122,2.555,0.63,56,575.691,-6.1198,113.147,109,420
5.9,6,6,4,0,539,261,6.26,0.88,17,88.891,10.501,93.4505,152,360
5.2,3,4,3,0,417,97,2.364,0.93,63,37.801,5.3539,94.5693,81,360
5.9,77,7,4,0,588,159,1.641,0.84,41,76.421,-8.6741,110.041,82,420
4.2,0,0,3,0,271,33,0.826,0.72,186,9.237,51.5572,-130.594,268,-420
3.9,0,0,3,0,234,34,0.27,0.56,173,79.702,52.0699,-173.813,30,-540
3.6,0,0,3,0,199,0,0,0.53,0,71.1,51.937,-173.727,43,-540
4.6,0,0,2,0,326,45,0.657,0.81,52,251.843,52.4623,-179.019,175,-720
4.5,1,3,3,0,312,105,0.209,0.74,59,95.514,52.2566,-173.869,23,-540
4.7,1,1,3,1,340,76,0.925,0.72,157,10,51.3957,-130.863,279,-540
6.5,94,5,5,1,695,187,0.777,0.75,67,10,51.6758,-130.632,272,-420
4.3,197,3,3,1,349,0,0,0.69,0,15,60.6032,-146.917,28,-480
5,2,3,3,0,385,252,0.393,0.97,50,170.476,52.1396,-179.807,215,-720
4.3,0,0,1,0,284,0,0,0.6,0,0.9,54.9023,-157.07,199,-600
3.9,0,0,3,0,234,28,1.636,1.3,181,38.471,54.4632,-159.639,111,-660
3.9,0,0,3,0,234,51,0.236,0.95,200,44.338,51.3453,-178.638,150,-540
4,0,0,3,0,246,0,0,0.53,0,25.7,51.2731,-178.633,153,-540
3.9,1,2,3,1,234,0,0,0.52,0,126.3,59.8159,-153.249,44,-480
3.5,27,4,3,0,200,0,0,0.63,0,8,58.9459,-136.697,63,-480
3.6,0,0,1,0,199,0,0,0.49,0,25.6,53.6139,-164.358,109,-660
4,0,0,2,0,246,0,0,0.62,0,26.3,51.5965,-175.165,94,-720
3.5,0,0,2,0,188,0,0,0.38,0,20.4,60.0019,-146.214,65,-600
3.4,0,0,3,0,178,0,0,0.61,0,33.6,54.7699,-158.513,133,-660
3.9,0,0,3,0,234,0,0,0.99,0,5,56.4818,-153.762,66,-480
4.3,0,0,3,0,284,109,0.438,0.67,138,67.586,51.997,-173.57,48,-540
3.5,1,2,3,0,189,0,0,0.84,0,43.6,63.2208,-148.573,26,-480
3.1,47,3,3,0,162,0,0,0.92,0,12.1,61.4837,-149.943,1,-480
4.3,0,0,3,0,284,48,0.488,0.67,179,62.587,51.4889,-179.588,208,-720
4,0,0,3,0,246,25,0.858,0.6,190,10,53.4211,-133.318,201,-540
3.4,0,0,4,0,178,0,0,1.26,0,38,68.1656,-136.376,111,-360
4.6,271,6,4,1,496,0,0,0.7,0,48.2,59.6591,-151.499,2,-480
3.7,115,3,3,0,246,0,0,0.64,0,49.3,59.7974,-151.337,9,-480
3.7,1,3,2,0,211,49,0.482,0.75,195,35,53.523,-165.902,57,-660
3.5,1,3,2,0,189,0,0,0.38,0,37.7,53.5158,-165.891,58,-660
4.4,1,2,3,0,298,170,0.362,0.7,62,41.343,52.6166,-168.748,36,-660
4,1,2,3,0,246,0,0,0.79,0,48.4,52.6577,-168.78,31,-660
4.8,6,3,4,0,356,87,0.633,0.82,83,66.53,54.3454,-162.778,69,-480
3.9,0,0,3,0,234,0,0,0.72,0,25.4,54.5066,-159.779,103,-660
4,0,0,3,0,246,30,1.028,0.47,196,35,54.4421,-159.647,113,-660
5,1,3,4,1,385,0,0,0.53,0,25,54.5449,-159.729,100,-660
5.1,2,3,4,1,401,127,0.925,0.86,68,28.58,54.5455,-159.689,102,-660
5,1,3,4,1,385,32,0.988147,0.51,201.6,12,54.514,-159.567,109,-660
3.6,0,0,1,0,199,0,0,0.6,0,39.8,54.4397,-160.234,101,-660
3.6,0,0,1,0,199,51,1.009,0.74,203,35,54.3575,-160.179,110,-660
3.9,0,0,3,0,234,38,0.395,0.8,183,141.837,52.2687,-173.565,44,-540
3.1,1,2,3,0,148,0,0,0.25,0,41.3,61.0968,-150.826,14,-480
4.4,0,0,1,0,298,59,1.694,1.17,196,22.817,50.5904,-173.373,187,-720
3.8,35,3,3,0,234,0,0,0.54,0,18.9,61.259,-147.016,39,-480
3.3,5,3,3,0,169,0,0,0.62,0,0.3,59.0181,-134.506,50,-480
3.5,0,0,2,0,188,0,0,0.58,0,10,49.6314,-178.31,276,-720
4,0,0,2,0,246,42,1.752,0.74,256,10,49.813,-178.305,254,-720
3.6,0,1,3,0,199,0,0,0.63,0,15.3,60.0304,-143.176,154,-480
3.7,240,3,3,0,292,0,0,0.54,0,38.7,61.2172,-149.616,6,-480
3.8,0,0,1,0,222,28,0.895,0.76,229,10,52.8357,-166.776,116,-660
